--- Terminal on /dev/cu.usbserial-0001 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
150 - IR_RAW: 111762 - IR_AC: -94
151 - IR_RAW: 111820 - IR_AC: -44
152 - IR_RAW: 111863 - IR_AC: 7
153 - IR_RAW: 111908 - IR_AC: 56
154 - IR_RAW: 111973 - IR_AC: 102
155 - IR_RAW: 112023 - IR_AC: 142
156 - IR_RAW: 112061 - IR_AC: 179
157 - IR_RAW: 112117 - IR_AC: 214
158 - IR_RAW: 111756 - IR_AC: 242
159 - IR_RAW: 111109 - IR_AC: 256
160 - IR_RAW: 111093 - IR_AC: 242
161 - IR_RAW: 111235 - IR_AC: 190
162 - IR_RAW: 111366 - IR_AC: 97
163 - IR_RAW: 111413 - IR_AC: -23
164 - IR_RAW: 111487 - IR_AC: -145
165 - IR_RAW: 111491 - IR_AC: -241
166 - IR_RAW: 111433 - IR_AC: -292
167 - IR_RAW: 111047 - IR_AC: -298
168 - IR_RAW: 111414 - IR_AC: -275
169 - IR_RAW: 111495 - IR_AC: -245
170 - IR_RAW: 111562 - IR_AC: -220
171 - IR_RAW: 111623 - IR_AC: -204
172 - IR_RAW: 111679 - IR_AC: -187
173 - IR_RAW: 111730 - IR_AC: -158
174 - IR_RAW: 111776 - IR_AC: -113
175 - IR_RAW: 111852 - IR_AC: -56
176 - IR_RAW: 111935 - IR_AC: 8
177 - IR_RAW: 111960 - IR_AC: 69
178 - IR_RAW: 112046 - IR_AC: 124
179 - IR_RAW: 112091 - IR_AC: 173
180 - IR_RAW: 112142 - IR_AC: 217
181 - IR_RAW: 112162 - IR_AC: 257
182 - IR_RAW: 111404 - IR_AC: 288
183 - IR_RAW: 111179 - IR_AC: 297
184 - IR_RAW: 111288 - IR_AC: 273
185 - IR_RAW: 111468 - IR_AC: 208
186 - IR_RAW: 111622 - IR_AC: 108
187 - IR_RAW: 111703 - IR_AC: -6
188 - IR_RAW: 111748 - IR_AC: -104
189 - IR_RAW: 111701 - IR_AC: -163
190 - IR_RAW: 111606 - IR_AC: -172
191 - IR_RAW: 111602 - IR_AC: -142
192 - IR_RAW: 111672 - IR_AC: -94
193 - IR_RAW: 111763 - IR_AC: -50
194 - IR_RAW: 111859 - IR_AC: -21
195 - IR_RAW: 111962 - IR_AC: -4
196 - IR_RAW: 112009 - IR_AC: 12
197 - IR_RAW: 112055 - IR_AC: 37
198 - IR_RAW: 112135 - IR_AC: 76
199 - IR_RAW: 112121 - IR_AC: -32
BPM: 68.181816,AVG_BPM: 81.532776
