--- Terminal on /dev/cu.usbserial-0001 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
124 - IR_RAW: 108934 - IR_AC: 2408
125 - IR_RAW: 108912 - IR_AC: 2314
126 - IR_RAW: 108959 - IR_AC: 2191
127 - IR_RAW: 109013 - IR_AC: 2037
128 - IR_RAW: 109075 - IR_AC: 1862
129 - IR_RAW: 109132 - IR_AC: 1685
130 - IR_RAW: 109129 - IR_AC: 1525
131 - IR_RAW: 109125 - IR_AC: 1396
132 - IR_RAW: 109138 - IR_AC: 1300
133 - IR_RAW: 109172 - IR_AC: 1230
134 - IR_RAW: 109206 - IR_AC: 1174
135 - IR_RAW: 109257 - IR_AC: 1123
136 - IR_RAW: 109292 - IR_AC: 1072
137 - IR_RAW: 109323 - IR_AC: 1024
138 - IR_RAW: 109347 - IR_AC: 980
139 - IR_RAW: 109369 - IR_AC: 942
140 - IR_RAW: 109316 - IR_AC: 909
141 - IR_RAW: 109078 - IR_AC: 875
142 - IR_RAW: 108918 - IR_AC: 834
143 - IR_RAW: 108951 - IR_AC: 777
144 - IR_RAW: 109099 - IR_AC: 703
145 - IR_RAW: 109341 - IR_AC: 617
146 - IR_RAW: 109552 - IR_AC: 535
147 - IR_RAW: 109680 - IR_AC: 475
148 - IR_RAW: 109735 - IR_AC: 455
149 - IR_RAW: 109736 - IR_AC: 480
150 - IR_RAW: 109837 - IR_AC: 542
151 - IR_RAW: 110029 - IR_AC: 624
152 - IR_RAW: 110323 - IR_AC: 708
153 - IR_RAW: 110628 - IR_AC: 786
154 - IR_RAW: 110859 - IR_AC: 860
155 - IR_RAW: 111037 - IR_AC: 941
156 - IR_RAW: 111157 - IR_AC: 1036
157 - IR_RAW: 111225 - IR_AC: 1146
158 - IR_RAW: 111270 - IR_AC: 1260
159 - IR_RAW: 111262 - IR_AC: 1364
160 - IR_RAW: 110111 - IR_AC: 1431
161 - IR_RAW: 109287 - IR_AC: 1435
162 - IR_RAW: 109379 - IR_AC: 1352
163 - IR_RAW: 109580 - IR_AC: 1170
164 - IR_RAW: 109746 - IR_AC: 903
165 - IR_RAW: 109920 - IR_AC: 594
166 - IR_RAW: 110121 - IR_AC: 300
167 - IR_RAW: 110249 - IR_AC: 79
168 - IR_RAW: 110323 - IR_AC: -36
169 - IR_RAW: 110440 - IR_AC: -44
170 - IR_RAW: 110552 - IR_AC: 27
171 - IR_RAW: 110674 - IR_AC: 137
172 - IR_RAW: 110828 - IR_AC: 255
173 - IR_RAW: 110987 - IR_AC: 362
174 - IR_RAW: 111071 - IR_AC: 458
175 - IR_RAW: 111143 - IR_AC: 545
